#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_001559965.1	PRJNA224116	SAMN04305138	LPRE00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-03		latest	Contig	Major	Full	2016/02/11	GG12_C01_03	University of Illinois at Urbana-Champaign	GCA_001559965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/965/GCF_001559965.1_GG12_C01_03		
GCF_001559975.1	PRJNA224116	SAMN04305137	LPRD00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-02		latest	Contig	Major	Full	2016/02/11	GG12_C01_02	University of Illinois at Urbana-Champaign	GCA_001559975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/975/GCF_001559975.1_GG12_C01_02		
GCF_001559985.1	PRJNA224116	SAMN04305139	LPRF00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-04		latest	Contig	Major	Full	2016/02/11	GG12_C01_04	University of Illinois at Urbana-Champaign	GCA_001559985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/985/GCF_001559985.1_GG12_C01_04		
GCF_001560035.1	PRJNA224116	SAMN04305140	LPRG00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-05		latest	Contig	Major	Full	2016/02/11	GG12_C01_05	University of Illinois at Urbana-Champaign	GCA_001560035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/035/GCF_001560035.1_GG12_C01_05		
GCF_001560045.1	PRJNA224116	SAMN04305141	LPRH00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-07		latest	Contig	Major	Full	2016/02/11	GG12_C01_07	University of Illinois at Urbana-Champaign	GCA_001560045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/045/GCF_001560045.1_GG12_C01_07		
GCF_001560065.1	PRJNA224116	SAMN04305142	LPRI00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-08		latest	Contig	Major	Full	2016/02/11	GG12_C01_08	University of Illinois at Urbana-Champaign	GCA_001560065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/065/GCF_001560065.1_GG12_C01_08		
GCF_001560085.1	PRJNA224116	SAMN04305144	LPRJ00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-10		latest	Contig	Major	Full	2016/02/11	GG12_C01_10	University of Illinois at Urbana-Champaign	GCA_001560085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/085/GCF_001560085.1_GG12_C01_10		
GCF_001560115.1	PRJNA224116	SAMN04305145	LPRK00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-11		latest	Contig	Major	Full	2016/02/11	GG12_C01_11	University of Illinois at Urbana-Champaign	GCA_001560115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/115/GCF_001560115.1_GG12_C01_11		
GCF_001560125.1	PRJNA224116	SAMN04305146	LPRL00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-12		latest	Scaffold	Major	Full	2016/02/11	GG12_C01_12	University of Illinois at Urbana-Champaign	GCA_001560125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/125/GCF_001560125.1_GG12_C01_12		
GCF_001560135.1	PRJNA224116	SAMN04305147	LPRM00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-13		latest	Contig	Major	Full	2016/02/11	GG12_C01_13	University of Illinois at Urbana-Champaign	GCA_001560135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/135/GCF_001560135.1_GG12_C01_13		
GCF_001560165.1	PRJNA224116	SAMN04305148	LPRN00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-14		latest	Contig	Major	Full	2016/02/11	GG12_C01_14	University of Illinois at Urbana-Champaign	GCA_001560165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/165/GCF_001560165.1_GG12_C01_14		
GCF_001560195.1	PRJNA224116	SAMN04305149	LPRO00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-15		latest	Contig	Major	Full	2016/02/11	GG12_C01_15	University of Illinois at Urbana-Champaign	GCA_001560195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/195/GCF_001560195.1_GG12_C01_15		
GCF_001560205.1	PRJNA224116	SAMN04305150	LPRP00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-16		latest	Contig	Major	Full	2016/02/11	GG12_C01_16	University of Illinois at Urbana-Champaign	GCA_001560205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/205/GCF_001560205.1_GG12_C01_16		
GCF_001560215.1	PRJNA224116	SAMN04305151	LPRQ00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-17		latest	Contig	Major	Full	2016/02/11	GG12_C01_17	University of Illinois at Urbana-Champaign	GCA_001560215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/215/GCF_001560215.1_GG12_C01_17		
GCF_001560245.1	PRJNA224116	SAMN04305152	LPRR00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-18		latest	Contig	Major	Full	2016/02/11	GG12_C01_18	University of Illinois at Urbana-Champaign	GCA_001560245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/245/GCF_001560245.1_GG12_C01_18		
GCF_001560275.1	PRJNA224116	SAMN04305153	LPRS00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-20		latest	Contig	Major	Full	2016/02/11	GG12_C01_20	University of Illinois at Urbana-Champaign	GCA_001560275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/275/GCF_001560275.1_GG12_C01_20		
GCF_001560285.1	PRJNA224116	SAMN04305154	LPRT00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-21		latest	Contig	Major	Full	2016/02/11	GG12_C01_21	University of Illinois at Urbana-Champaign	GCA_001560285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/285/GCF_001560285.1_GG12_C01_21		
GCF_001560305.1	PRJNA224116	SAMN04305155	LPRU00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=GG12-C01-22		latest	Contig	Major	Full	2016/02/11	GG12_C01_22	University of Illinois at Urbana-Champaign	GCA_001560305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/305/GCF_001560305.1_GG12_C01_22		
GCF_001560315.1	PRJNA224116	SAMN04305156	LPRV00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05A_C04		latest	Contig	Major	Full	2016/02/11	NG05A_C04	University of Illinois at Urbana-Champaign	GCA_001560315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/315/GCF_001560315.1_NG05A_C04		
GCF_001560355.1	PRJNA224116	SAMN04305157	LPRW00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05A_C05_01		latest	Scaffold	Major	Full	2016/02/11	NG05A_C05_01	University of Illinois at Urbana-Champaign	GCA_001560355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/355/GCF_001560355.1_NG05A_C05_01		
GCF_001560375.1	PRJNA224116	SAMN04305158	LPRX00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C03_01		latest	Contig	Major	Full	2016/02/11	NG05B_C03_01	University of Illinois at Urbana-Champaign	GCA_001560375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/375/GCF_001560375.1_NG05B_C03_01		
GCF_001560385.1	PRJNA224116	SAMN04305159	LPRY00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_02		latest	Contig	Major	Full	2016/02/11	NG05B_C06_02	University of Illinois at Urbana-Champaign	GCA_001560385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/385/GCF_001560385.1_NG05B_C06_02		
GCF_001560405.1	PRJNA224116	SAMN04305160	LPRZ00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_03		latest	Contig	Major	Full	2016/02/11	NG05B_C06_03	University of Illinois at Urbana-Champaign	GCA_001560405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/405/GCF_001560405.1_NG05B_C06_03		
GCF_001560435.1	PRJNA224116	SAMN04305161	LPSA00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_04		latest	Contig	Major	Full	2016/02/11	NG05B_C06_04	University of Illinois at Urbana-Champaign	GCA_001560435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/435/GCF_001560435.1_NG05B_C06_04		
GCF_001560455.1	PRJNA224116	SAMN04305162	LPSB00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_05		latest	Contig	Major	Full	2016/02/11	NG05B_C06_05	University of Illinois at Urbana-Champaign	GCA_001560455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/455/GCF_001560455.1_NG05B_C06_05		
GCF_001560465.1	PRJNA224116	SAMN04305163	LPSC00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_06		latest	Contig	Major	Full	2016/02/11	NG05B_C06_06	University of Illinois at Urbana-Champaign	GCA_001560465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/465/GCF_001560465.1_NG05B_C06_06		
GCF_001560485.1	PRJNA224116	SAMN04305164	LPSD00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_07		latest	Contig	Major	Full	2016/02/11	NG05B_C06_07	University of Illinois at Urbana-Champaign	GCA_001560485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/485/GCF_001560485.1_NG05B_C06_07		
GCF_001560515.1	PRJNA224116	SAMN04305165	LPSE00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_11		latest	Contig	Major	Full	2016/02/11	NG05B_C06_11	University of Illinois at Urbana-Champaign	GCA_001560515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/515/GCF_001560515.1_NG05B_C06_11		
GCF_001560525.1	PRJNA224116	SAMN04305166	LPSF00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_12		latest	Contig	Major	Full	2016/02/11	NG05B_C06_12	University of Illinois at Urbana-Champaign	GCA_001560525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/525/GCF_001560525.1_NG05B_C06_12		
GCF_001560555.1	PRJNA224116	SAMN04305167	LPSG00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_C06_13		latest	Contig	Major	Full	2016/02/11	NG05B_C06_13	University of Illinois at Urbana-Champaign	GCA_001560555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/555/GCF_001560555.1_NG05B_C06_13		
GCF_001560565.1	PRJNA224116	SAMN04305168	LPSH00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_01		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_01	University of Illinois at Urbana-Champaign	GCA_001560565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/565/GCF_001560565.1_NG05B_CO5_01		
GCF_001560595.1	PRJNA224116	SAMN04305169	LPSI00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_02		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_02	University of Illinois at Urbana-Champaign	GCA_001560595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/595/GCF_001560595.1_NG05B_CO5_02		
GCF_001560605.1	PRJNA224116	SAMN04305170	LPSJ00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_03		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_03	University of Illinois at Urbana-Champaign	GCA_001560605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/605/GCF_001560605.1_NG05B_CO5_03		
GCF_001560635.1	PRJNA224116	SAMN04305171	LPSK00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_04		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_04	University of Illinois at Urbana-Champaign	GCA_001560635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/635/GCF_001560635.1_NG05B_CO5_04		
GCF_001560645.1	PRJNA224116	SAMN04305172	LPSL00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_05		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_05	University of Illinois at Urbana-Champaign	GCA_001560645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/645/GCF_001560645.1_NG05B_CO5_05		
GCF_001560675.1	PRJNA224116	SAMN04305173	LPSM00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_06		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_06	University of Illinois at Urbana-Champaign	GCA_001560675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/675/GCF_001560675.1_NG05B_CO5_06		
GCF_001560685.1	PRJNA224116	SAMN04305175	LPSN00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_08		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_08	University of Illinois at Urbana-Champaign	GCA_001560685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/685/GCF_001560685.1_NG05B_CO5_08		
GCF_001560715.1	PRJNA224116	SAMN04305176	LPSO00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_09		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_09	University of Illinois at Urbana-Champaign	GCA_001560715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/715/GCF_001560715.1_NG05B_CO5_09		
GCF_001560725.1	PRJNA224116	SAMN04305177	LPSP00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_10		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_10	University of Illinois at Urbana-Champaign	GCA_001560725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/725/GCF_001560725.1_NG05B_CO5_10		
GCF_001560755.1	PRJNA224116	SAMN04305178	LPSQ00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_11		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_11	University of Illinois at Urbana-Champaign	GCA_001560755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/755/GCF_001560755.1_NG05B_CO5_11		
GCF_001560765.1	PRJNA224116	SAMN04305179	LPSR00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_12		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_12	University of Illinois at Urbana-Champaign	GCA_001560765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/765/GCF_001560765.1_NG05B_CO5_12		
GCF_001560795.1	PRJNA224116	SAMN04305180	LPSS00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_13		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_13	University of Illinois at Urbana-Champaign	GCA_001560795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/795/GCF_001560795.1_NG05B_CO5_13		
GCF_001560815.1	PRJNA224116	SAMN04305181	LPST00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_14		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_14	University of Illinois at Urbana-Champaign	GCA_001560815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/815/GCF_001560815.1_NG05B_CO5_14		
GCF_001560835.1	PRJNA224116	SAMN04305182	LPSU00000000.1	na	2285	2285	Sulfolobus acidocaldarius	strain=NG05B_CO5_15		latest	Contig	Major	Full	2016/02/11	NG05B_CO5_15	University of Illinois at Urbana-Champaign	GCA_001560835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/835/GCF_001560835.1_NG05B_CO5_15		
GCF_000007005.1	PRJNA224116	SAMN02603227		representative genome	273057	2287	Sulfolobus solfataricus P2	strain=P2		latest	Complete Genome	Major	Full	2002/11/25	ASM700v1	European/Canadian Consortium	GCA_000007005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/005/GCF_000007005.1_ASM700v1		
GCF_000024745.1	PRJNA224116	SAMN00120218		na	555311	2287	Sulfolobus solfataricus 98/2	strain=98/2		latest	Complete Genome	Major	Full	2009/10/20	ASM2474v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/745/GCF_000024745.1_ASM2474v1		
GCF_000175555.1	PRJNA224116	SAMN00001854	ACUK00000000.1	na	555311	2287	Sulfolobus solfataricus 98/2	strain=98/2		latest	Contig	Major	Full	2009/07/20	ASM17555v1	Washington State University	GCA_000175555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/555/GCF_000175555.1_ASM17555v1		
GCF_000968355.1	PRJNA224116	SAMN03452281		na	2287	2287	Sulfolobus solfataricus	strain=SULB	98/2	latest	Complete Genome	Major	Full	2015/04/02	ASM96835v1	University of Nebraska-Lincoln	GCA_000968355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/355/GCF_000968355.1_ASM96835v1		
GCF_000968395.1	PRJNA224116	SAMN03395044		na	2287	2287	Sulfolobus solfataricus	strain=98/2 SULC		latest	Complete Genome	Major	Full	2015/04/02	ASM96839v1	University of Nebraska-Lincoln	GCA_000968395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/395/GCF_000968395.1_ASM96839v1		
GCF_000968435.1	PRJNA224116	SAMN03452280		na	2287	2287	Sulfolobus solfataricus	strain=SULA	98/2	latest	Complete Genome	Major	Full	2015/04/02	ASM96843v1	University of Nebraska-Lincoln	GCA_000968435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/435/GCF_000968435.1_ASM96843v1		
GCF_900079115.1	PRJNA224116	SAMEA3920617		na	2287	2287	Sulfolobus solfataricus	strain=P1		latest	Complete Genome	Major	Full	2016/04/11	SSOP1	Institute of Biology	GCA_900079115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/115/GCF_900079115.1_SSOP1		
GCF_000195915.1	PRJNA224116	SAMEA3138325		representative genome	273075	2303	Thermoplasma acidophilum DSM 1728	strain=DSM 1728		latest	Complete Genome	Major	Full	2003/05/06	ASM19591v1	Max-Plank-Institute	GCA_000195915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/915/GCF_000195915.1_ASM19591v1		assembly from type material
GCF_001462395.1	PRJNA224116	SAMN03154506	LNTB00000000.1	representative genome	2309	2309	Pyrodictium occultum	strain=PL-19		latest	Contig	Major	Full	2015/12/08	ASM146239v1	Oak Ridge National Laboratory	GCA_001462395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/462/395/GCF_001462395.1_ASM146239v1		assembly from type material
GCF_000243255.1	PRJNA224116	SAMN02261391	AHKP00000000.1	representative genome	937775	2315	Methanoplanus limicola DSM 2279	strain=DSM 2279		latest	Chromosome	Major	Full	2012/01/24	ASM24325v1	JGI	GCA_000243255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/255/GCF_000243255.1_ASM24325v1		assembly from type material
GCF_000012545.1	PRJNA224116	SAMN02604180		representative genome	339860	2317	Methanosphaera stadtmanae DSM 3091	strain=DSM 3091		latest	Complete Genome	Major	Full	2006/01/05	ASM1254v1	University of Goettingen	GCA_000012545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/545/GCF_000012545.1_ASM1254v1		assembly from type material
GCF_000196655.1	PRJNA224116	SAMN00015125		representative genome	644295	2322	Methanohalobium evestigatum Z-7303	strain=Z-7303		latest	Complete Genome	Major	Full	2010/06/15	ASM19665v1	US DOE Joint Genome Institute	GCA_000196655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/655/GCF_000196655.1_ASM19665v1		assembly from type material
GCF_000025625.1	PRJNA224116	SAMN02598473		representative genome	547559	13769	Natrialba magadii ATCC 43099	strain=ATCC 43099		latest	Complete Genome	Major	Full	2010/02/24	ASM2562v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000025625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/625/GCF_000025625.1_ASM2562v1		assembly from type material
GCF_000337875.1	PRJNA224116	SAMN02471679	AOHS00000000.1	na	547559	13769	Natrialba magadii ATCC 43099	strain=MS-3		latest	Contig	Major	Full	2013/02/04	ASM33787v1	University of California, Davis	GCA_000337875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/875/GCF_000337875.1_ASM33787v1		assembly from type material
GCF_000337775.1	PRJNA224116	SAMN02471656	AOLQ00000000.1	representative genome	662477	28442	Haloarcula vallismortis ATCC 29715	strain=ATCC 29715		latest	Contig	Major	Full	2013/02/04	ASM33777v1	University of California, Davis	GCA_000337775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/775/GCF_000337775.1_ASM33777v1		assembly from type material
GCF_900106715.1	PRJNA224116	SAMN05443574	FNOF00000000.1	na	28442	28442	Haloarcula vallismortis	strain=DSM 3756		latest	Scaffold	Major	Full	2016/10/22	IMG-taxon 2693429892 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900106715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/715/GCF_900106715.1_IMG-taxon_2693429892_annotated_assembly		assembly from type material
GCF_000336635.1	PRJNA224116	SAMN02471638	AOLY00000000.1	na	1227453	29282	Haloarcula japonica DSM 6131	strain=DSM 6131		latest	Contig	Major	Full	2013/02/04	ASM33663v1	University of California, Davis	GCA_000336635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/635/GCF_000336635.1_ASM33663v1		assembly from type material
GCF_000337055.1	PRJNA224116	SAMN02471665	AOJM00000000.1	na	1227467	29283	Halorubrum distributum JCM 9100	strain=JCM 9100		latest	Contig	Major	Full	2013/02/04	ASM33705v1	University of California, Davis	GCA_000337055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/055/GCF_000337055.1_ASM33705v1		assembly from type material
GCF_000337335.1	PRJNA224116	SAMN02471649	AOJN00000000.1	na	1227468	29283	Halorubrum distributum JCM 10118	strain=JCM 10118		latest	Contig	Major	Full	2013/02/04	ASM33733v1	University of California, Davis	GCA_000337335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/335/GCF_000337335.1_ASM33733v1		assembly from type material
GCF_000328685.1	PRJNA224116	SAMN02261263		representative genome	694430	29288	Natronococcus occultus SP4	strain=SP4		latest	Complete Genome	Major	Full	2012/12/28	ASM32868v1	JGI	GCA_000328685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/685/GCF_000328685.1_ASM32868v1		assembly from type material
GCF_000013725.1	PRJNA224116	SAMN02598545		representative genome	259564	29291	Methanococcoides burtonii DSM 6242	strain=DSM 6242		latest	Complete Genome	Major	Full	2006/04/10	ASM1372v1	DOE Joint Genome Institute	GCA_000013725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/725/GCF_000013725.1_ASM1372v1		assembly from type material
GCF_000195935.2	PRJNA224116	SAMEA3283067		representative genome	272844	29292	Pyrococcus abyssi GE5			latest	Complete Genome	Major	Full	2003/05/06	ASM19593v1	Genoscope	GCA_000195935.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/935/GCF_000195935.2_ASM19593v1		assembly from type material
GCF_000337275.1	PRJNA224116	SAMN02471645	AOLR00000000.1	na	662476	35742	Haloarcula sinaiiensis ATCC 33800	strain=ATCC 33800		latest	Contig	Major	Full	2013/02/04	ASM33727v1	University of California, Davis	GCA_000337275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/275/GCF_000337275.1_ASM33727v1		assembly from type material
GCF_000337795.1	PRJNA224116	SAMN02471644	AOLP00000000.1	na	662478	35745	Haloferax denitrificans ATCC 35960	strain=ATCC 35960		latest	Contig	Major	Full	2013/02/04	ASM33779v1	University of California, Davis	GCA_000337795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/795/GCF_000337795.1_ASM33779v1		assembly from type material
GCF_000336775.1	PRJNA224116	SAMN02471685	AOLJ00000000.1	na	1227459	35746	Haloferax gibbonsii ATCC 33959	strain=ATCC 33959		latest	Contig	Major	Full	2013/02/04	ASM33677v1	University of California, Davis	GCA_000336775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/775/GCF_000336775.1_ASM33677v1		assembly from type material
GCF_001190965.1	PRJNA224116	SAMN03755233		na	35746	35746	Haloferax gibbonsii	strain=ARA6		latest	Complete Genome	Major	Full	2015/08/03	ASM119096v1	Universidade do Estado do Rio de Janeiro	GCA_001190965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/965/GCF_001190965.1_ASM119096v1		
GCF_000336935.1	PRJNA224116	SAMN02471636	AOME00000000.1	representative genome	1227456	36738	Halococcus salifodinae DSM 8989	strain=DSM 8989		latest	Contig	Major	Full	2013/02/04	ASM33693v1	University of California, Davis	GCA_000336935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/935/GCF_000336935.1_ASM33693v1		assembly from type material
GCF_000970085.1	PRJNA224116	SAMN03074589		representative genome	1434120	38027	Methanosarcina siciliae T4/M	strain=T4/M		latest	Complete Genome	Major	Full	2015/04/07	ASM97008v1	University of Illinois at Urbana-Champaign	GCA_000970085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/085/GCF_000970085.1_ASM97008v1		assembly from type material
GCF_000970145.1	PRJNA224116	SAMN03074587		na	1434118	38027	Methanosarcina siciliae C2J	strain=C2J		latest	Complete Genome	Major	Full	2015/04/07	ASM97014v1	University of Illinois at Urbana-Champaign	GCA_000970145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/145/GCF_000970145.1_ASM97014v1		
