asm_name,assembly_accession,domain,ftp_basename,ftp_path,organism_name,taxid,genetic_code
ASM81795v1,GCF_000817955.1,bacteria,GCF_000817955.1_ASM81795v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/955/GCF_000817955.1_ASM81795v1,Geobacter pickeringii,345632,11
ASM31704v1,GCF_000317045.1,bacteria,GCF_000317045.1_ASM31704v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/045/GCF_000317045.1_ASM31704v1,Geitlerinema sp. PCC 7407,1173025,11
ASM76453v1,GCF_000764535.1,bacteria,GCF_000764535.1_ASM76453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/764/535/GCF_000764535.1_ASM76453v1,Sphingomonas taxi,1549858,11
ASM31751v1,GCF_000317515.1,bacteria,GCF_000317515.1_ASM31751v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/515/GCF_000317515.1_ASM31751v1,Microcoleus sp. PCC 7113,1173027,11
ASM23055v1,GCF_000230555.1,bacteria,GCF_000230555.1_ASM23055v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/555/GCF_000230555.1_ASM23055v1,Pelagibacterium halotolerans B2,1082931,11
ASM16605v1,GCF_000166055.1,bacteria,GCF_000166055.1_ASM16605v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/055/GCF_000166055.1_ASM16605v1,Rhodomicrobium vannielii ATCC 17100,648757,11
ASM168698v1,GCF_001686985.1,bacteria,GCF_001686985.1_ASM168698v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/686/985/GCF_001686985.1_ASM168698v1,Mesorhizobium amorphae CCNWGS0123,1082933,11
ASM102102v1,GCF_001021025.1,bacteria,GCF_001021025.1_ASM102102v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/025/GCF_001021025.1_ASM102102v1,Corynebacterium epidermidicanis,1050174,11
ASM104240v1,GCF_001042405.1,bacteria,GCF_001042405.1_ASM104240v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/405/GCF_001042405.1_ASM104240v1,Lactobacillus acetotolerans,1600,11
ASM98783v1,GCF_000987835.1,bacteria,GCF_000987835.1_ASM98783v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/835/GCF_000987835.1_ASM98783v1,Sulfurovum lithotrophicum,206403,11
ASM19154v1,GCF_000191545.1,bacteria,GCF_000191545.1_ASM19154v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/545/GCF_000191545.1_ASM19154v1,Lactobacillus amylovorus,1604,11
ASM2322v1,GCF_000023225.1,bacteria,GCF_000023225.1_ASM2322v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/225/GCF_000023225.1_ASM2322v1,Desulfomicrobium baculatum DSM 4028,525897,11
ASM22532v1,GCF_000225325.1,bacteria,GCF_000225325.1_ASM22532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/325/GCF_000225325.1_ASM22532v1,Lactobacillus sanfranciscensis TMW 1.1304,714313,11
ASM2488v1,GCF_000024885.1,bacteria,GCF_000024885.1_ASM2488v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/885/GCF_000024885.1_ASM2488v1,Sulfurospirillum deleyianum DSM 6946,525898,11
ASM2500v1,GCF_000025005.1,bacteria,GCF_000025005.1_ASM2500v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/005/GCF_000025005.1_ASM2500v1,Thermobaculum terrenum ATCC BAA-798,525904,11
ASM2326v1,GCF_000023265.1,bacteria,GCF_000023265.1_ASM2326v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/265/GCF_000023265.1_ASM2326v1,Acidimicrobium ferrooxidans DSM 10331,525909,11
ASM2410v1,GCF_000024105.1,bacteria,GCF_000024105.1_ASM2410v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/105/GCF_000024105.1_ASM2410v1,Anaerococcus prevotii DSM 20548,525919,11
ASM22408v1,GCF_000224085.1,bacteria,GCF_000224085.1_ASM22408v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/085/GCF_000224085.1_ASM22408v1,Muricauda ruestringensis DSM 13258,886377,11
ASM21478v1,GCF_000214785.1,bacteria,GCF_000214785.1_ASM21478v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/785/GCF_000214785.1_ASM21478v1,Lactobacillus kefiranofaciens ZW3,1033837,11
ASM167676v1,GCF_001676765.1,bacteria,GCF_001676765.1_ASM167676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/765/GCF_001676765.1_ASM167676v1,Mesorhizobium loti NZP2037,935546,11
ASM61205v1,GCF_000612055.1,bacteria,GCF_000612055.1_ASM61205v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/055/GCF_000612055.1_ASM61205v1,Trueperella pyogenes,1661,11
ASM32141v2,GCF_000321415.2,bacteria,GCF_000321415.2_ASM32141v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/321/415/GCF_000321415.2_ASM32141v2,Thioalkalivibrio nitratireducens DSM 14787,1255043,11
ASM14864v1,GCF_000148645.1,bacteria,GCF_000148645.1_ASM14864v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/645/GCF_000148645.1_ASM14864v1,Ferrimonas balearica DSM 9799,550540,11
ASM2540v1,GCF_000025405.2,bacteria,GCF_000025405.2_ASM2540v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/405/GCF_000025405.2_ASM2540v1,Pantoea ananatis LMG 20103,706191,11
ASM1386v1,GCF_000013865.1,bacteria,GCF_000013865.1_ASM1386v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/865/GCF_000013865.1_ASM1386v1,Polaromonas sp. JS666,296591,11
ASM165248v1,GCF_001652485.1,bacteria,GCF_001652485.1_ASM165248v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/652/485/GCF_001652485.1_ASM165248v1,Ochrobactrum pseudogrignonense,419475,11
ASM29451v1,GCF_000294515.1,bacteria,GCF_000294515.1_ASM29451v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/515/GCF_000294515.1_ASM29451v1,Nocardiopsis alba ATCC BAA-2165,1205910,11
ASM73786v1,GCF_000737865.1,bacteria,GCF_000737865.1_ASM73786v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/865/GCF_000737865.1_ASM73786v1,Bifidobacterium coryneforme,1687,11
ASM94942v1,GCF_000949425.1,bacteria,GCF_000949425.1_ASM94942v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/425/GCF_000949425.1_ASM94942v1,Paenibacillus sp. IHBB 10380,1566358,11
ASM170096v1,GCF_001700965.1,bacteria,GCF_001700965.1_ASM170096v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/965/GCF_001700965.1_ASM170096v1,Stenotrophomonas nitritireducens,83617,11
ASM160600v1,GCF_001606005.1,bacteria,GCF_001606005.1_ASM160600v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/005/GCF_001606005.1_ASM160600v1,Brevibacterium linens,1703,11
ASM194134v1,GCF_001941345.1,bacteria,GCF_001941345.1_ASM194134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/345/GCF_001941345.1_ASM194134v1,Corynebacterium stationis,1705,11
ASM1316v1,GCF_000013165.1,bacteria,GCF_000013165.1_ASM1316v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/165/GCF_000013165.1_ASM1316v1,Neorickettsia sennetsu str. Miyayama,222891,11
ASM14467v1,GCF_000144675.1,bacteria,GCF_000144675.1_ASM14467v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/675/GCF_000144675.1_ASM14467v1,Corynebacterium pseudotuberculosis C231,681645,11
ASM2370v1,GCF_000023705.1,bacteria,GCF_000023705.1_ASM2370v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/705/GCF_000023705.1_ASM2370v1,Methylotenera mobilis JLW8,583345,11
NCTC11397,GCF_001457455.1,bacteria,GCF_001457455.1_NCTC11397,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/455/GCF_001457455.1_NCTC11397,Corynebacterium diphtheriae,1717,11
ASM144278v1,GCF_001442785.1,bacteria,GCF_001442785.1_ASM144278v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/785/GCF_001442785.1_ASM144278v1,Lysobacter capsici,435897,11
ASM2590v1,GCF_000025905.1,bacteria,GCF_000025905.1_ASM2590v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/905/GCF_000025905.1_ASM2590v1,Coraliomargarita akajimensis DSM 45221,583355,11
ASM101103v1,GCF_001011035.1,bacteria,GCF_001011035.1_ASM101103v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/011/035/GCF_001011035.1_ASM101103v1,Streptomyces sp. CNQ-509,444103,11
ASM23343v1,GCF_000233435.1,bacteria,GCF_000233435.1_ASM23343v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/435/GCF_000233435.1_ASM23343v1,Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR,1074889,11
ASM144116v1,GCF_001441165.1,bacteria,GCF_001441165.1_ASM144116v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/441/165/GCF_001441165.1_ASM144116v1,Acidipropionibacterium acidipropionici,1748,11
ASM51130v1,GCF_000511305.1,bacteria,GCF_000511305.1_ASM51130v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/305/GCF_000511305.1_ASM51130v1,Rhodococcus pyridinivorans SB3094,1435356,11
ASM130754v1,GCF_001307545.1,bacteria,GCF_001307545.1_ASM130754v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/545/GCF_001307545.1_ASM130754v1,Mycobacterium fortuitum,1766,11
ASM158341v1,GCF_001583415.1,bacteria,GCF_001583415.1_ASM158341v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/583/415/GCF_001583415.1_ASM158341v1,Mycobacterium phlei,1771,11
ASM32872v1,GCF_000328725.1,bacteria,GCF_000328725.1_ASM32872v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/725/GCF_000328725.1_ASM32872v1,Mycoplasma cynos C142,1246955,4
ASM27030v1,GCF_000270305.1,bacteria,GCF_000270305.1_ASM27030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/305/GCF_000270305.1_ASM27030v1,Clostridium sp. SY8519,1042156,11
ASM21953v3,GCF_000219535.2,bacteria,GCF_000219535.2_ASM21953v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/535/GCF_000219535.2_ASM21953v3,Brevibacillus laterosporus LMG 15441,1042163,11
ASM31769v1,GCF_000317695.1,bacteria,GCF_000317695.1_ASM31769v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/695/GCF_000317695.1_ASM31769v1,Anabaena cylindrica PCC 7122,272123,11
ASM176146v1,GCF_001761465.1,bacteria,GCF_001761465.1_ASM176146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/761/465/GCF_001761465.1_ASM176146v1,Flavobacterium gilvum,1492737,11
ASM31708v1,GCF_000317085.1,bacteria,GCF_000317085.1_ASM31708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/085/GCF_000317085.1_ASM31708v1,Synechococcus sp. PCC 7502,1173263,11
ASM83000v1,GCF_000830005.1,bacteria,GCF_000830005.1_ASM83000v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/005/GCF_000830005.1_ASM83000v1,Streptomyces vietnamensis,362257,11
ASM49475v1,GCF_000494755.1,bacteria,GCF_000494755.1_ASM49475v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/494/755/GCF_000494755.1_ASM49475v1,Actinoplanes friuliensis DSM 7358,1246995,11
ASM107781v2,GCF_001077815.2,bacteria,GCF_001077815.2_ASM107781v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/815/GCF_001077815.2_ASM107781v2,Erythrobacter atlanticus,1648404,11
ASM44487v1,GCF_000444875.1,bacteria,GCF_000444875.1_ASM44487v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/444/875/GCF_000444875.1_ASM44487v1,Streptomyces collinus Tu 365,1214242,11
ASM23540v3,GCF_000235405.2,bacteria,GCF_000235405.2_ASM23540v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/405/GCF_000235405.2_ASM23540v3,Fervidobacterium pennivorans DSM 9078,771875,11
ASM18580v1,GCF_000185805.1,bacteria,GCF_000185805.1_ASM18580v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/805/GCF_000185805.1_ASM18580v1,Thermovibrio ammonificans HB-1,648996,11
ASM1320v1,GCF_000013205.1,bacteria,GCF_000013205.1_ASM1320v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/205/GCF_000013205.1_ASM1320v1,Synechococcus sp. JA-3-3Ab,321327,11
ASM1322v1,GCF_000013225.1,bacteria,GCF_000013225.1_ASM1322v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/225/GCF_000013225.1_ASM1322v1,Synechococcus sp. JA-2-3B'a(2-13),321332,11
ASM118759v1,GCF_001187595.1,bacteria,GCF_001187595.1_ASM118759v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/595/GCF_001187595.1_ASM118759v1,Anoxybacillus gonensis,198467,11
ASM75570v1,GCF_000755705.1,bacteria,GCF_000755705.1_ASM75570v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/705/GCF_000755705.1_ASM75570v1,Candidatus Izimaplasma sp. HR1,1541959,11
MfumSolVChr1,GCF_000953475.1,bacteria,GCF_000953475.1_MfumSolVChr1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/475/GCF_000953475.1_MfumSolVChr1,Methylacidiphilum fumariolicum SolV,1156937,11
ASM30007v1,GCF_000300075.1,bacteria,GCF_000300075.1_ASM30007v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/075/GCF_000300075.1_ASM30007v1,Candidatus Portiera aleyrodidarum BT-B-HRs,1206109,11
ASM82700v1,GCF_000827005.1,bacteria,GCF_000827005.1_ASM82700v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/005/GCF_000827005.1_ASM82700v1,Streptomyces albus,1888,11
ASM21239v1,GCF_000212395.1,bacteria,GCF_000212395.1_ASM21239v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/395/GCF_000212395.1_ASM21239v1,Thermodesulfobium narugense DSM 14796,747365,11
ASM169367v1,GCF_001693675.1,bacteria,GCF_001693675.1_ASM169367v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/675/GCF_001693675.1_ASM169367v1,Streptomyces clavuligerus,1901,11
ASM2056v1,GCF_000020565.1,bacteria,GCF_000020565.1_ASM2056v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/565/GCF_000020565.1_ASM2056v1,Candidatus Amoebophilus asiaticus 5a2,452471,11
ASM1028v1,GCF_000010285.1,bacteria,GCF_000010285.1_ASM1028v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/285/GCF_000010285.1_ASM1028v1,Kocuria rhizophila DC2201,378753,11
TUE45,GCF_001511815.1,bacteria,GCF_001511815.1_TUE45,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/511/815/GCF_001511815.1_TUE45,Streptomyces reticuli,1926,11
ASM2440v1,GCF_000024405.1,bacteria,GCF_000024405.1_ASM2440v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/405/GCF_000024405.1_ASM2440v1,Sebaldella termitidis ATCC 33386,526218,11
ASM2344v1,GCF_000023445.1,bacteria,GCF_000023445.1_ASM2344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/445/GCF_000023445.1_ASM2344v1,Desulfovibrio salexigens DSM 2638,526222,11
ASM9284v1,GCF_000092845.1,bacteria,GCF_000092845.1_ASM9284v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/845/GCF_000092845.1_ASM9284v1,Brachyspira murdochii DSM 12563,526224,11
ASM2534v1,GCF_000025345.1,bacteria,GCF_000025345.1_ASM2534v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/345/GCF_000025345.1_ASM2534v1,Geodermatophilus obscurus DSM 43160,526225,11
ASM2478v1,GCF_000024785.1,bacteria,GCF_000024785.1_ASM2478v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/785/GCF_000024785.1_ASM2478v1,Gordonia bronchialis DSM 43247,526226,11
ASM9212v1,GCF_000092125.1,bacteria,GCF_000092125.1_ASM9212v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/125/GCF_000092125.1_ASM9212v1,Meiothermus silvanus DSM 9946,526227,11
ASM195571v1,GCF_001955715.1,bacteria,GCF_001955715.1_ASM195571v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/955/715/GCF_001955715.1_ASM195571v1,Rhodoferax saidenbachensis,1484693,11
ASM96853v1,GCF_000968535.2,bacteria,GCF_000968535.2_ASM96853v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/535/GCF_000968535.2_ASM96853v1,Methylomicrobium alcaliphilum 20Z,1091494,11
ASM16548v1,GCF_000165485.1,bacteria,GCF_000165485.1_ASM16548v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,Stigmatella aurantiaca DW4/3-1,378806,11
ASM72448v1,GCF_000724485.1,bacteria,GCF_000724485.1_ASM72448v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/485/GCF_000724485.1_ASM72448v1,Bacillus methanolicus MGA3,796606,11
ASM1888v1,GCF_000018885.1,bacteria,GCF_000018885.1_ASM1888v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/885/GCF_000018885.1_ASM1888v1,Renibacterium salmoninarum ATCC 33209,288705,11
ASM25925v1,GCF_000259255.1,bacteria,GCF_000259255.1_ASM25925v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/255/GCF_000259255.1_ASM25925v1,Helicobacter cetorum MIT 00-7128,182217,11
ASM28409v1,GCF_000284095.1,bacteria,GCF_000284095.1_ASM28409v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/095/GCF_000284095.1_ASM28409v1,Selenomonas ruminantium subsp. lactilytica TAM6421,927704,11
ASM160596v1,GCF_001605965.1,bacteria,GCF_001605965.1_ASM160596v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/965/GCF_001605965.1_ASM160596v1,Pseudomonas koreensis,198620,11
ASM14705v1,GCF_000147055.1,bacteria,GCF_000147055.1_ASM14705v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/055/GCF_000147055.1_ASM14705v1,Dickeya dadantii 3937,198628,11
ASM14650v1,GCF_000146505.1,bacteria,GCF_000146505.1_ASM14650v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/505/GCF_000146505.1_ASM14650v1,Fibrobacter succinogenes subsp. succinogenes S85,59374,11
ASM32566v1,GCF_000325665.1,bacteria,GCF_000325665.1_ASM32566v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/325/665/GCF_000325665.1_ASM32566v1,Brachyspira pilosicoli P43/6/78,1042417,11
ASM78549v1,GCF_000785495.1,bacteria,GCF_000785495.1_ASM78549v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/495/GCF_000785495.1_ASM78549v1,Pimelobacter simplex,2045,11
ASM1810v1,GCF_000018105.1,bacteria,GCF_000018105.1_ASM1810v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1,Acaryochloris marina MBIC11017,329726,11
ASM169822v1,GCF_001698225.1,bacteria,GCF_001698225.1_ASM169822v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/225/GCF_001698225.1_ASM169822v1,Gordonia terrae,2055,11
ASM994v1,GCF_000009945.1,bacteria,GCF_000009945.1_ASM994v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/945/GCF_000009945.1_ASM994v1,Chlamydia felis Fe/C-56,264202,11
ASM19460v1,GCF_000194605.1,bacteria,GCF_000194605.1_ASM19460v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/605/GCF_000194605.1_ASM19460v1,Fluviicola taffensis DSM 16823,755732,11
ASM1032v1,GCF_000010325.1,bacteria,GCF_000010325.1_ASM1032v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/325/GCF_000010325.1_ASM1032v1,Nitratiruptor sp. SB155-2,387092,11
ASM26694v1,GCF_000266945.1,bacteria,GCF_000266945.1_ASM26694v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/266/945/GCF_000266945.1_ASM26694v1,Desulfomonile tiedjei DSM 6799,706587,11
ASM1996v1,GCF_000019965.1,bacteria,GCF_000019965.1_ASM1996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/965/GCF_000019965.1_ASM1996v1,Opitutus terrae PB90-1,452637,11
ASM1974v1,GCF_000019745.1,bacteria,GCF_000019745.1_ASM1974v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/745/GCF_000019745.1_ASM1974v1,Polynucleobacter necessarius subsp. necessarius STIR1,452638,11
ASM17897v2,GCF_000178975.2,bacteria,GCF_000178975.2_ASM17897v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/975/GCF_000178975.2_ASM17897v2,Granulicella tundricola MP5ACTX9,1198114,11
ASM26998v1,GCF_000269985.1,bacteria,GCF_000269985.1_ASM26998v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/985/GCF_000269985.1_ASM26998v1,Kitasatospora setae KM-6054,452652,11
ASM154797v1,GCF_001547975.1,bacteria,GCF_001547975.1_ASM154797v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/547/975/GCF_001547975.1_ASM154797v1,Mycoplasma arginini,2094,4
ASM18634v1,GCF_000186345.1,bacteria,GCF_000186345.1_ASM18634v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1,Isosphaera pallida ATCC 43644,575540,11
ASM104271v1,GCF_001042715.1,bacteria,GCF_001042715.1_ASM104271v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/715/GCF_001042715.1_ASM104271v1,Clostridium aceticum,84022,11
ASM9112v1,GCF_000091125.1,bacteria,GCF_000091125.1_ASM9112v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/125/GCF_000091125.1_ASM9112v1,Sphingobium japonicum UT26S,452662,11
ASM69583v1,GCF_000695835.1,bacteria,GCF_000695835.1_ASM69583v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/835/GCF_000695835.1_ASM69583v1,Mycoplasma californicum,2113,4
Bbla,GCF_000513475.1,bacteria,GCF_000513475.1_Bbla,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/475/GCF_000513475.1_Bbla,Candidatus Babela massiliensis,673862,11
ASM75953v1,GCF_000759535.1,bacteria,GCF_000759535.1_ASM75953v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/535/GCF_000759535.1_ASM75953v1,Pseudomonas cremoricolorata,157783,11
ASM16498v2,GCF_000164985.3,bacteria,GCF_000164985.3_ASM16498v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/985/GCF_000164985.3_ASM16498v2,Paenibacillus polymyxa SC2,886882,11
ASM72460v1,GCF_000724605.1,bacteria,GCF_000724605.1_ASM72460v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/605/GCF_000724605.1_ASM72460v1,Actinotignum schaalii,59505,11
ASM51273v1,GCF_000512735.1,bacteria,GCF_000512735.1_ASM51273v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/735/GCF_000512735.1_ASM51273v1,Thermocrinis ruber,75906,11
ASM16639v1,GCF_000166395.1,bacteria,GCF_000166395.1_ASM16639v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/395/GCF_000166395.1_ASM16639v1,Leadbetterella byssophila DSM 17132,649349,11
ASM736v1,GCF_000007365.1,bacteria,GCF_000007365.1_ASM736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,Buchnera aphidicola str. Sg (Schizaphis graminum),198804,11
ASM163280v1,GCF_001632805.1,bacteria,GCF_001632805.1_ASM163280v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/805/GCF_001632805.1_ASM163280v1,Mycobacterium chelonae CCUG 47445,1460372,11
ASM33211v1,GCF_000332115.1,bacteria,GCF_000332115.1_ASM33211v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/332/115/GCF_000332115.1_ASM33211v1,Nonlabens dokdonensis DSW-6,592029,11
ASM47399v1,GCF_000473995.1,bacteria,GCF_000473995.1_ASM47399v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/473/995/GCF_000473995.1_ASM47399v1,Clostridium saccharobutylicum DSM 13864,1345695,11
ASM2192v1,GCF_000021925.1,bacteria,GCF_000021925.1_ASM2192v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/925/GCF_000021925.1_ASM2192v1,Desulfitobacterium hafniense DCB-2,272564,11
ASM2132v1,GCF_000021325.1,bacteria,GCF_000021325.1_ASM2132v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/325/GCF_000021325.1_ASM2132v1,Gluconacetobacter diazotrophicus PA1 5,272568,11
ASM1030v1,GCF_000010305.1,bacteria,GCF_000010305.1_ASM1030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/305/GCF_000010305.1_ASM1030v1,Gemmatimonas aurantiaca T-27,379066,11
ASM52156v1,GCF_000521565.1,bacteria,GCF_000521565.1_ASM52156v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/565/GCF_000521565.1_ASM52156v1,Buchnera aphidicola str. G002 (Myzus persicae),1009858,11
ASM131422v1,GCF_001314225.1,bacteria,GCF_001314225.1_ASM131422v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/225/GCF_001314225.1_ASM131422v1,Microbacterium sp. No. 7,1714373,11
