# assembly_accession,asm_name,domain,ftp_basename,ftp_path,organism_name,taxid,genetic_code
GCF_000953135.1,LFA,bacteria,GCF_000953135.1_LFA,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/135/GCF_000953135.1_LFA,Legionella fallonii LLAP-10,1212491,11
GCF_000218875.1,ASM21887v1,bacteria,GCF_000218875.1_ASM21887v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/875/GCF_000218875.1_ASM21887v1,Zymomonas mobilis subsp. pomaceae ATCC 29192,579138,11
GCF_000015305.1,ASM1530v1,bacteria,GCF_000015305.1_ASM1530v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/305/GCF_000015305.1_ASM1530v1,Mycobacterium vanbaalenii PYR-1,350058,11
GCF_001956985.1,ASM195698v1,bacteria,GCF_001956985.1_ASM195698v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/956/985/GCF_001956985.1_ASM195698v1,Paludisphaera borealis,1387353,11
GCF_000147355.1,ASM14735v1,bacteria,GCF_000147355.1_ASM14735v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/355/GCF_000147355.1_ASM14735v1,Sulfurimonas autotrophica DSM 16294,563040,11
GCF_002201795.1,ASM220179v1,bacteria,GCF_002201795.1_ASM220179v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/795/GCF_002201795.1_ASM220179v1,Alkalitalea saponilacus,889453,11
GCF_900155415.1,PRJEB13909b,bacteria,GCF_900155415.1_PRJEB13909b,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/155/415/GCF_900155415.1_PRJEB13909b,Christensenella massiliensis,1805714,11
GCF_000015025.1,ASM1502v1,bacteria,GCF_000015025.1_ASM1502v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/025/GCF_000015025.1_ASM1502v1,Acidothermus cellulolyticus 11B,351607,11
GCF_001655245.1,ASM165524v1,bacteria,GCF_001655245.1_ASM165524v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/245/GCF_001655245.1_ASM165524v1,Mycobacterium vaccae 95051,1354275,11
GCF_000009865.1,ASM986v1,bacteria,GCF_000009865.1_ASM986v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/865/GCF_000009865.1_ASM986v1,Staphylococcus haemolyticus JCSC1435,279808,11
GCF_002215215.1,ASM221521v1,bacteria,GCF_002215215.1_ASM221521v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/215/GCF_002215215.1_ASM221521v1,Granulosicoccus antarcticus IMCC3135,1192854,11
GCF_000219805.1,ASM21980v1,bacteria,GCF_000219805.1_ASM21980v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/805/GCF_000219805.1_ASM21980v1,Weissella koreensis KACC 15510,1045854,11
GCF_000739435.1,ASM73943v1,bacteria,GCF_000739435.1_ASM73943v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/435/GCF_000739435.1_ASM73943v1,Actinobacillus suis ATCC 33415,743972,11
GCF_000091465.1,ASM9146v1,bacteria,GCF_000091465.1_ASM9146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/465/GCF_000091465.1_ASM9146v1,Vibrio tasmaniensis LGP32,575788,11
GCF_000023205.1,ASM2320v1,bacteria,GCF_000023205.1_ASM2320v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/205/GCF_000023205.1_ASM2320v1,Micrococcus luteus NCTC 2665,465515,11
GCF_000020045.1,ASM2004v1,bacteria,GCF_000020045.1_ASM2004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/045/GCF_000020045.1_ASM2004v1,Paraburkholderia phymatum STM815,391038,11
GCF_000023925.1,ASM2392v1,bacteria,GCF_000023925.1_ASM2392v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/925/GCF_000023925.1_ASM2392v1,Kytococcus sedentarius DSM 20547,478801,11
GCF_000311765.1,ASM31176v1,bacteria,GCF_000311765.1_ASM31176v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/311/765/GCF_000311765.1_ASM31176v1,Gluconobacter oxydans H24,1224746,11
GCF_001654455.1,ASM165445v1,bacteria,GCF_001654455.1_ASM165445v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/455/GCF_001654455.1_ASM165445v1,Niabella ginsenosidivorans,1176587,11
GCF_000190435.1,ASM19043v1,bacteria,GCF_000190435.1_ASM19043v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/435/GCF_000190435.1_ASM19043v1,Sphaerochaeta globosa str. Buddy,158189,11
GCF_900128725.1,BCifornacula_v1.0,bacteria,GCF_900128725.1_BCifornacula_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0,Buchnera aphidicola,9,11
GCF_000020205.1,ASM2020v1,bacteria,GCF_000020205.1_ASM2020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/205/GCF_000020205.1_ASM2020v1,Ralstonia pickettii 12J,402626,11
GCF_000829035.1,ASM82903v1,bacteria,GCF_000829035.1_ASM82903v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/035/GCF_000829035.1_ASM82903v1,Lactobacillus paracasei subsp. paracasei JCM 8130,1226298,11
GCF_000015505.1,ASM1550v1,bacteria,GCF_000015505.1_ASM1550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/505/GCF_000015505.1_ASM1550v1,Polaromonas naphthalenivorans CJ2,365044,11
GCF_000184345.1,ASM18434v2,bacteria,GCF_000184345.1_ASM18434v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/345/GCF_000184345.1_ASM18434v2,Spirochaeta thermophila DSM 6578,869211,11
GCF_000013645.1,ASM1364v1,bacteria,GCF_000013645.1_ASM1364v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/645/GCF_000013645.1_ASM1364v1,Paraburkholderia xenovorans LB400,266265,11
GCF_000747315.1,ASM74731v1,bacteria,GCF_000747315.1_ASM74731v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/315/GCF_000747315.1_ASM74731v1,Corynebacterium ureicelerivorans,401472,11
GCF_000319575.2,ASM31957v2,bacteria,GCF_000319575.2_ASM31957v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/319/575/GCF_000319575.2_ASM31957v2,Spiribacter salinus M19-40,1260251,11
GCF_001543285.1,ASM154328v1,bacteria,GCF_001543285.1_ASM154328v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/285/GCF_001543285.1_ASM154328v1,Aerococcus viridans,1377,11
GCF_000723165.1,JAG1,bacteria,GCF_000723165.1_JAG1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/165/GCF_000723165.1_JAG1,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,1349767,11
GCF_001262055.1,ASM126205v1,bacteria,GCF_001262055.1_ASM126205v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/262/055/GCF_001262055.1_ASM126205v1,Actinomyces meyeri,52773,11
GCF_000013365.1,ASM1336v1,bacteria,GCF_000013365.1_ASM1336v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/365/GCF_000013365.1_ASM1336v1,Rhodopseudomonas palustris HaA2,316058,11
GCF_000265295.1,ASM26529v1,bacteria,GCF_000265295.1_ASM26529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/295/GCF_000265295.1_ASM26529v1,Sulfurospirillum barnesii SES-3,760154,11
GCF_000354175.2,ASM35417v2,bacteria,GCF_000354175.2_ASM35417v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/354/175/GCF_000354175.2_ASM35417v2,Vibrio alginolyticus NBRC 15630 = ATCC 17749,1219076,11
GCF_000987835.1,ASM98783v1,bacteria,GCF_000987835.1_ASM98783v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/835/GCF_000987835.1_ASM98783v1,Sulfurovum lithotrophicum,206403,11
GCF_000020645.1,ASM2064v1,bacteria,GCF_000020645.1_ASM2064v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/645/GCF_000020645.1_ASM2064v1,Pelodictyon phaeoclathratiforme BU-1,324925,11
GCF_000218565.1,ASM21856v1,bacteria,GCF_000218565.1_ASM21856v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/565/GCF_000218565.1_ASM21856v1,Oligotropha carboxidovorans OM5,504832,11
GCF_000247605.1,ASM24760v1,bacteria,GCF_000247605.1_ASM24760v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/605/GCF_000247605.1_ASM24760v1,Acetobacterium woodii DSM 1030,931626,11
GCF_000953695.1,AWOD1,bacteria,GCF_000953695.1_AWOD1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/695/GCF_000953695.1_AWOD1,Aliivibrio wodanis,80852,11
GCF_000271405.2,ASM27140v2,bacteria,GCF_000271405.2_ASM27140v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/405/GCF_000271405.2_ASM27140v2,Enterococcus hirae ATCC 9790,768486,11
GCF_000454045.1,ASM45404v1,bacteria,GCF_000454045.1_ASM45404v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/454/045/GCF_000454045.1_ASM45404v1,Rhodococcus erythropolis CCM2595,1136179,11
GCF_000400955.1,ASM40095v1,bacteria,GCF_000400955.1_ASM40095v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/955/GCF_000400955.1_ASM40095v1,Spiroplasma syrphidicola EA-1,1276229,4
GCF_000953475.1,MfumSolVChr1,bacteria,GCF_000953475.1_MfumSolVChr1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/475/GCF_000953475.1_MfumSolVChr1,Methylacidiphilum fumariolicum SolV,1156937,11
GCF_000973625.1,ASM97362v1,bacteria,GCF_000973625.1_ASM97362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/625/GCF_000973625.1_ASM97362v1,Polynucleobacter duraquae,1835254,11
GCF_000023865.1,ASM2386v1,bacteria,GCF_000023865.1_ASM2386v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/865/GCF_000023865.1_ASM2386v1,Saccharomonospora viridis DSM 43017,471857,11
GCF_000018325.1,ASM1832v1,bacteria,GCF_000018325.1_ASM1832v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/325/GCF_000018325.1_ASM1832v1,Alkaliphilus oremlandii OhILAs,350688,11
GCF_001542625.1,ASM154262v2,bacteria,GCF_001542625.1_ASM154262v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/625/GCF_001542625.1_ASM154262v2,Streptomyces griseochromogenes,68214,11
GCF_000017265.1,ASM1726v1,bacteria,GCF_000017265.1_ASM1726v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/265/GCF_000017265.1_ASM1726v1,Phenylobacterium zucineum HLK1,450851,11
GCF_000226565.1,ASM22656v1,bacteria,GCF_000226565.1_ASM22656v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/565/GCF_000226565.1_ASM22656v1,Glaciecola nitratireducens FR1064,1085623,11
GCF_002163975.1,ASM216397v1,bacteria,GCF_002163975.1_ASM216397v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/163/975/GCF_002163975.1_ASM216397v1,Nostocales cyanobacterium HT-58-2,1940762,11
GCF_001267175.1,ASM126717v1,bacteria,GCF_001267175.1_ASM126717v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/267/175/GCF_001267175.1_ASM126717v1,Oblitimonas alkaliphila,1697053,11
GCF_000829235.1,ASM82923v1,bacteria,GCF_000829235.1_ASM82923v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/235/GCF_000829235.1_ASM82923v1,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,1228987,11
GCF_000953715.1,DTL3,bacteria,GCF_000953715.1_DTL3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/715/GCF_000953715.1_DTL3,Defluviitoga tunisiensis,1006576,11
GCF_002043005.1,ASM204300v1,bacteria,GCF_002043005.1_ASM204300v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/043/005/GCF_002043005.1_ASM204300v1,Martelella mediterranea DSM 17316,1122214,11
GCF_000248095.2,ASM24809v3,bacteria,GCF_000248095.2_ASM24809v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/248/095/GCF_000248095.2_ASM24809v3,Lactobacillus mucosae LM1,1130798,11
GCF_000014465.1,ASM1446v1,bacteria,GCF_000014465.1_ASM1446v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/465/GCF_000014465.1_ASM1446v1,Lactobacillus brevis ATCC 367,387344,11
GCF_900169085.1,SWA-2,bacteria,GCF_900169085.1_SWA-2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/169/085/GCF_900169085.1_SWA-2,Chlamydia suis,83559,11
GCF_002142495.1,ASM214249v1,bacteria,GCF_002142495.1_ASM214249v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/142/495/GCF_002142495.1_ASM214249v1,Leptolyngbya boryana dg5,1260963,11
GCF_001263175.1,ASM126317v1,bacteria,GCF_001263175.1_ASM126317v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/175/GCF_001263175.1_ASM126317v1,Vulgatibacter incomptus,1391653,11
GCF_000524555.1,ASM52455v1,bacteria,GCF_000524555.1_ASM52455v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/555/GCF_000524555.1_ASM52455v1,Mycoplasma bovoculi M165/69,743966,4
GCF_000025205.1,ASM2520v1,bacteria,GCF_000025205.1_ASM2520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/205/GCF_000025205.1_ASM2520v1,Gardnerella vaginalis 409-05,553190,11
GCF_000020025.1,ASM2002v1,bacteria,GCF_000020025.1_ASM2002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/025/GCF_000020025.1_ASM2002v1,Nostoc punctiforme PCC 73102,63737,11
GCF_001941425.1,ASM194142v1,bacteria,GCF_001941425.1_ASM194142v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/425/GCF_001941425.1_ASM194142v1,Corynebacterium ammoniagenes DSM 20306,649754,11
GCF_000511355.1,ASM51135v1,bacteria,GCF_000511355.1_ASM51135v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/355/GCF_000511355.1_ASM51135v1,Leisingera methylohalidivorans DSM 14336,999552,11
GCF_001941945.1,ASM194194v1,bacteria,GCF_001941945.1_ASM194194v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/945/GCF_001941945.1_ASM194194v1,Roseomonas gilardii,257708,11
GCF_000186345.1,ASM18634v1,bacteria,GCF_000186345.1_ASM18634v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1,Isosphaera pallida ATCC 43644,575540,11
GCF_000019225.1,ASM1922v1,bacteria,GCF_000019225.1_ASM1922v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/225/GCF_000019225.1_ASM1922v1,Cellvibrio japonicus Ueda107,498211,11
GCF_000300455.3,ASM30045v4,bacteria,GCF_000300455.3_ASM30045v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/455/GCF_000300455.3_ASM30045v4,Kosakonia sacchari SP1,1235834,11
GCF_001989575.1,ASM198957v1,bacteria,GCF_001989575.1_ASM198957v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/575/GCF_001989575.1_ASM198957v1,Auricoccus indicus,1849491,11
GCF_000008025.1,ASM802v1,bacteria,GCF_000008025.1_ASM802v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/025/GCF_000008025.1_ASM802v1,Wolbachia endosymbiont of Drosophila melanogaster,163164,11
GCF_000196815.1,ASM19681v1,bacteria,GCF_000196815.1_ASM19681v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/815/GCF_000196815.1_ASM19681v1,Nitrospira defluvii,330214,11
GCF_000177615.2,ASM17761v2,bacteria,GCF_000177615.2_ASM17761v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/615/GCF_000177615.2_ASM17761v2,Frankia symbiont of Datisca glomerata,656024,11
GCF_000020485.1,ASM2048v1,bacteria,GCF_000020485.1_ASM2048v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/485/GCF_000020485.1_ASM2048v1,Halothermothrix orenii H 168,373903,11
GCF_000046705.1,ASM4670v1,bacteria,GCF_000046705.1_ASM4670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/705/GCF_000046705.1_ASM4670v1,Bartonella henselae str. Houston-1,283166,11
GCF_000092125.1,ASM9212v1,bacteria,GCF_000092125.1_ASM9212v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/125/GCF_000092125.1_ASM9212v1,Meiothermus silvanus DSM 9946,526227,11
GCF_001735805.1,ASM173580v1,bacteria,GCF_001735805.1_ASM173580v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/805/GCF_001735805.1_ASM173580v1,Streptomyces puniciscabiei,164348,11
GCF_001484065.1,ASM148406v1,bacteria,GCF_001484065.1_ASM148406v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/484/065/GCF_001484065.1_ASM148406v1,Pannonibacter phragmitetus,121719,11
GCF_001941465.1,ASM194146v1,bacteria,GCF_001941465.1_ASM194146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/465/GCF_001941465.1_ASM194146v1,Corynebacterium flavescens,28028,11
GCF_000807275.1,ASM80727v1,bacteria,GCF_000807275.1_ASM80727v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/275/GCF_000807275.1_ASM80727v1,Frischella perrara,1267021,11
GCF_001922305.1,ASM192230v1,bacteria,GCF_001922305.1_ASM192230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/305/GCF_001922305.1_ASM192230v1,Thauera chlorobenzoica,96773,11
GCF_000954135.1,ASM95413v2,bacteria,GCF_000954135.1_ASM95413v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/135/GCF_000954135.1_ASM95413v2,Ralstonia mannitolilytica,105219,11
GCF_000590925.1,ASM59092v1,bacteria,GCF_000590925.1_ASM59092v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/925/GCF_000590925.1_ASM59092v1,Roseibacterium elongatum DSM 19469,1294273,11
GCF_000827125.1,ASM82712v1,bacteria,GCF_000827125.1_ASM82712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/125/GCF_000827125.1_ASM82712v1,Geoalkalibacter subterraneus,483547,11
GCF_001999245.1,ASM199924v1,bacteria,GCF_001999245.1_ASM199924v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/245/GCF_001999245.1_ASM199924v1,Labrenzia aggregata,187304,11
GCF_000739475.1,ASM73947v1,bacteria,GCF_000739475.1_ASM73947v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/475/GCF_000739475.1_ASM73947v1,Borreliella valaisiana Tom4006,1398491,11
GCF_001971745.1,ASM197174v1,bacteria,GCF_001971745.1_ASM197174v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/971/745/GCF_001971745.1_ASM197174v1,Lacinutrix venerupis,1486034,11
GCF_000204155.1,ASM20415v1,bacteria,GCF_000204155.1_ASM20415v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/155/GCF_000204155.1_ASM20415v1,Verrucosispora maris AB-18-032,263358,11
GCF_000767055.1,ASM76705v1,bacteria,GCF_000767055.1_ASM76705v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/055/GCF_000767055.1_ASM76705v1,Corynebacterium doosanense CAU 212 = DSM 45436,558173,11
GCF_001678905.1,ASM167890v1,bacteria,GCF_001678905.1_ASM167890v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/905/GCF_001678905.1_ASM167890v1,Dermabacter vaginalis,1630135,11
GCF_000145275.1,ASM14527v1,bacteria,GCF_000145275.1_ASM14527v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/275/GCF_000145275.1_ASM14527v1,Clostridium cellulovorans 743B,573061,11
GCF_001558255.1,ASM155825v1,bacteria,GCF_001558255.1_ASM155825v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/255/GCF_001558255.1_ASM155825v1,Grimontia hollisae,673,11
GCF_000010145.1,ASM1014v1,bacteria,GCF_000010145.1_ASM1014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/145/GCF_000010145.1_ASM1014v1,Lactobacillus fermentum IFO 3956,334390,11
GCF_001553545.1,ASM155354v1,bacteria,GCF_001553545.1_ASM155354v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/545/GCF_001553545.1_ASM155354v1,Capnocytophaga haemolytica,45243,11
GCF_000196515.1,ASM19651v1,bacteria,GCF_000196515.1_ASM19651v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/515/GCF_000196515.1_ASM19651v1,'Nostoc azollae' 0708,551115,11
GCF_000164695.2,ASM16469v2,bacteria,GCF_000164695.2_ASM16469v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/695/GCF_000164695.2_ASM16469v2,Rothia dentocariosa ATCC 17931,762948,11
GCF_000016745.1,ASM1674v1,bacteria,GCF_000016745.1_ASM1674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/745/GCF_000016745.1_ASM1674v1,Geobacter uraniireducens Rf4,351605,11
GCF_000277715.1,ASM27771v1,bacteria,GCF_000277715.1_ASM27771v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/715/GCF_000277715.1_ASM27771v1,Pseudopropionibacterium propionicum F0230a,767029,11
GCF_001274895.1,ASM127489v1,bacteria,GCF_001274895.1_ASM127489v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/274/895/GCF_001274895.1_ASM127489v1,Corynebacterium lactis RW2-5,1408189,11
GCF_000269985.1,ASM26998v1,bacteria,GCF_000269985.1_ASM26998v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/985/GCF_000269985.1_ASM26998v1,Kitasatospora setae KM-6054,452652,11
GCF_000225445.1,ASM22544v1,bacteria,GCF_000225445.1_ASM22544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/445/GCF_000225445.1_ASM22544v1,Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),1005090,11
GCF_001577305.1,ASM157730v1,bacteria,GCF_001577305.1_ASM157730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/305/GCF_001577305.1_ASM157730v1,Sinomonas atrocyanea,37927,11
GCF_000212675.2,ASM21267v2,bacteria,GCF_000212675.2_ASM21267v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/675/GCF_000212675.2_ASM21267v2,Desulfovibrio africanus str. Walvis Bay,690850,11
GCF_000013025.1,ASM1302v1,bacteria,GCF_000013025.1_ASM1302v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/025/GCF_000013025.1_ASM1302v1,Hyphomonas neptunium ATCC 15444,228405,11
GCF_000214175.1,ASM21417v1,bacteria,GCF_000214175.1_ASM21417v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/175/GCF_000214175.1_ASM21417v1,Hoyosella subflava DQS3-9A1,443218,11
GCF_000507245.1,ASM50724v1,bacteria,GCF_000507245.1_ASM50724v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/507/245/GCF_000507245.1_ASM50724v1,Salinispira pacifica,1307761,11
GCF_000015445.1,ASM1544v1,bacteria,GCF_000015445.1_ASM1544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1,Bartonella bacilliformis KC583,360095,11
GCF_000175575.2,ASM17557v2,bacteria,GCF_000175575.2_ASM17557v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/575/GCF_000175575.2_ASM17557v2,Acidithiobacillus caldus ATCC 51756,637389,11
GCF_000018885.1,ASM1888v1,bacteria,GCF_000018885.1_ASM1888v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/885/GCF_000018885.1_ASM1888v1,Renibacterium salmoninarum ATCC 33209,288705,11
GCF_000485905.1,ASM48590v1,bacteria,GCF_000485905.1_ASM48590v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/485/905/GCF_000485905.1_ASM48590v1,Spiribacter curvatus,1335757,11
GCF_000875755.1,ASM87575v1,bacteria,GCF_000875755.1_ASM87575v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/875/755/GCF_000875755.1_ASM87575v1,Mycoplasma yeatsii GM274B,743967,4
GCF_000091785.1,ASM9178v1,bacteria,GCF_000091785.1_ASM9178v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/785/GCF_000091785.1_ASM9178v1,Legionella longbeachae NSW150,661367,11
GCF_000512915.1,ASM51291v1,bacteria,GCF_000512915.1_ASM51291v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/915/GCF_000512915.1_ASM51291v1,Barnesiella viscericola DSM 18177,880074,11
GCF_002067135.1,ASM206713v1,bacteria,GCF_002067135.1_ASM206713v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/067/135/GCF_002067135.1_ASM206713v1,Spirosoma rigui,564064,11
GCF_001586165.1,ASM158616v1,bacteria,GCF_001586165.1_ASM158616v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/586/165/GCF_001586165.1_ASM158616v1,Obesumbacterium proteus,82983,11
GCF_000801275.2,ASM80127v1,bacteria,GCF_000801275.2_ASM80127v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/275/GCF_000801275.2_ASM80127v1,Vibrio nigripulchritudo,28173,11
GCF_002208135.1,ASM220813v1,bacteria,GCF_002208135.1_ASM220813v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/135/GCF_002208135.1_ASM220813v1,Pseudoalteromonas piscicida,43662,11
